-2.619074415137861,
-13.760911457800297,
-7.9652039415551785,
-2.7347228138864788,
-78.58302114905364,
22.16615365937955,
56.55693386659976,
-1.081483339438349,
-0.5307634734476423,
-1.2762441160256486,
0.9371778181341344,
-0.009648381328038875,
0.5346567781117815,
3.5136317996988735,
-0.7709674798878539,
-0.6289487134028167,
-1.974676608100765,
3.5249964810381598,
-22.573952207868835,
148.6625029718715,
-1.8188945527060705,
-12.925756948868434,
-1.6195932670766382,
-3.1573609448196316,
2.727579641505466,
-0.6892923592393347,
-2.400152338484449,
-1.075924685516142,
0.9001463069913688,
0.5579553149567505,
-0.27151170242417144,
26.156177615073595,
4.1813237507448155,
32.89684990433715,
23.077405478636233,
6.25626544017549,
176.9170074894878,
-47.921103263938285,
-123.05987589693221,
4.002868413151892,
-0.029692846675879812,
4.870011204912596,
-3.05828986359141,
-0.32863055157573595,
-1.6839904802271042,
-8.3897941705723,
2.0951700152762114,
1.1382189116901378,
5.1478282336271075,
-6.709203813575848,
60.44280996668059,
-344.2759367120427,
4.386178419860159,
28.29149906587843,
4.219310150669827,
8.490296029251555,
-6.457521848490938,
2.392439949255114,
6.571169676293756,
2.502383921772833,
-0.631048658403232,
-2.8066724205768545,
3.5594516028930587,
